debate_audio_id,debate_id,year,debate_type,date,turn_id,sentence_id,sentence_index_in_turn,start_sec,end_sec,duration_sec,speaker_raw,speaker,party,result,speaker_role,sentence_text,n_words,n_words_matched,alignment_tier,alignment_source,in_debate_window
1001,1988P1,1988,Presidential,1988-09-25,1001_t0001,1001_t0001_s001,0,9.349,9.809,0.46,LEHRER,Lehrer,—,moderator,moderator,Good evening.,2,2,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0001,1001_t0001_s002,1,10.61,18.935,8.325,LEHRER,Lehrer,—,moderator,moderator,On behalf of the Commission on Presidential Debates I am pleased to welcome you to this first presidential debate of the 1988 campaign.,23,22,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0001,1001_t0001_s003,2,19.716,22.017,2.301,LEHRER,Lehrer,—,moderator,moderator,I’m Jim Lehrer of the McNeil-Lehrer News Hour.,8,6,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0001,1001_t0001_s004,3,22.498,33.545,11.047,LEHRER,Lehrer,—,moderator,moderator,My colleagues on the panel are John Mashek of The Atlanta Journal-Constitution; Ann Groer of The Orlando Sentinel; and Peter Jennings of ABC News.,24,20,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0001,1001_t0001_s005,4,34.574,46.379,11.805,LEHRER,Lehrer,—,moderator,moderator,For the next 90 minutes we will be questioning the candidates for president of the United States following a format designed and agreed to by representatives of the two candidates.,30,29,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0001,1001_t0001_s006,5,47.52,78.016,30.496,LEHRER,Lehrer,—,moderator,moderator,"The candidates are Vice President George Bush, the Republican nominee; Governor Michael Dukakis, the Democratic nominee.",16,14,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0002,1001_t0002_s001,0,89.883,96.828,6.945,LEHRER,Lehrer,—,moderator,moderator,Our questions this evening will be about equally divided between foreign and domestic policy matters.,15,15,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0002,1001_t0002_s002,1,97.208,101.991,4.783,LEHRER,Lehrer,—,moderator,moderator,The first question by agreement between the two candidates goes to Vice President Bush.,14,14,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0002,1001_t0002_s003,2,102.831,104.212,1.381,LEHRER,Lehrer,—,moderator,moderator,It is a domestic question.,5,5,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0002,1001_t0002_s004,3,104.633,106.774,2.141,LEHRER,Lehrer,—,moderator,moderator,"You have two minutes for an answer, sir.",8,8,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0002,1001_t0002_s005,4,108.015,114.739,6.724,LEHRER,Lehrer,—,moderator,moderator,The polls say the number one domestic issue to a majority of voters is drugs.,15,15,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0002,1001_t0002_s006,5,115.94,123.773,7.833,LEHRER,Lehrer,—,moderator,moderator,What is there about these times that drives or draws so many Americans to use drugs?,16,16,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s001,0,126.516,129.54,3.024,BUSH,George H. W. Bush,Republican,winner,candidate,I think we’ve seen a deterioration of values.,8,7,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s002,1,130.602,134.927,4.325,BUSH,George H. W. Bush,Republican,winner,candidate,I think for a while as a nation we condoned those things we should have condemned.,16,16,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s003,2,135.976,148.062,12.086,BUSH,George H. W. Bush,Republican,winner,candidate,"For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think that’s all wrong.",29,28,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s004,3,148.622,160.819,12.197,BUSH,George H. W. Bush,Republican,winner,candidate,"So we’ve seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools.",35,33,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s005,4,160.86,165.943,5.083,BUSH,George H. W. Bush,Republican,winner,candidate,"We got away, we got into this feeling that value- free education was the thing.",15,15,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s006,5,166.443,171.767,5.324,BUSH,George H. W. Bush,Republican,winner,candidate,And I don’t believe that at all I do believe there are fundamental rights and wrongs as far as use.,20,19,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s007,6,172.427,179.338,6.911,BUSH,George H. W. Bush,Republican,winner,candidate,"And, of course, as far as the how we make it better, yes, we can do better on interdiction.",19,19,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s008,7,179.878,189.301,9.423,BUSH,George H. W. Bush,Republican,winner,candidate,"But we’ve got to do a lot better on education, and we have to do, be tougher on those who commit crimes.",22,20,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s009,8,189.712,192.603,2.892,BUSH,George H. W. Bush,Republican,winner,candidate,We’ve got to get after the users more.,8,7,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s010,9,192.923,195.964,3.041,BUSH,George H. W. Bush,Republican,winner,candidate,We have to change this whole culture.,7,7,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s011,10,196.364,199.065,2.701,BUSH,George H. W. Bush,Republican,winner,candidate,"You know, I saw a movie – “Crocodile Dundee.",8,7,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s012,11,200.605,208.185,7.58,BUSH,George H. W. Bush,Republican,winner,candidate,"” And I saw the cocaine scene treated with humor, as though this was a humorous little incident.",17,17,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s013,12,209.066,209.687,0.621,BUSH,George H. W. Bush,Republican,winner,candidate,And it’s bad.,3,2,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s014,13,210.407,211.869,1.462,BUSH,George H. W. Bush,Republican,winner,candidate,Everybody ought to be in this thing.,7,7,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s015,14,212.509,217.314,4.805,BUSH,George H. W. Bush,Republican,winner,candidate,"Entertainment industry, people involved in the schools, education.",8,8,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s016,15,217.594,221.095,3.501,BUSH,George H. W. Bush,Republican,winner,candidate,And it isn’t a Republican or a Democrat or a liberal problem.,12,10,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s017,16,221.556,225.798,4.242,BUSH,George H. W. Bush,Republican,winner,candidate,But we have got to instill values in these young people.,11,11,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s018,17,226.398,239.684,13.286,BUSH,George H. W. Bush,Republican,winner,candidate,And I have put forward a many-point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods.,36,36,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0003,1001_t0003_s019,18,240.164,246.389,6.225,BUSH,George H. W. Bush,Republican,winner,candidate,"But I think we’re all in this together, and my plea to the American people is values in the schools.",20,19,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0004,1001_t0004_s001,0,248.13,249.712,1.582,LEHRER,Lehrer,—,moderator,moderator,"Governor, you have one minute to respond.",7,7,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s001,0,250.172,250.813,0.641,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,I agree with Mr.,4,4,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s002,1,250.853,252.394,1.541,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,Bush that values are important.,5,5,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s003,2,253.635,257.018,3.383,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,But it’s important that our leaders demonstrate those values from the top.,12,11,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s004,3,258.219,262.883,4.664,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,That means those of us who are elected to positions of political leadership have to reflect those values ourselves.,19,18,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s005,4,264.465,268.028,3.563,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,Here we are with a government that’s been dealing with a drug-running Panamanian dictator.,14,13,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s006,5,268.772,272.438,3.666,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,We’ve been dealing with him; he’s been dealing drugs to our kids.,12,10,A-equiv,text_via_whisper,True
1001,1988P1,1988,Presidential,1988-09-25,1001_t0005,1001_t0005_s007,6,273.719,276.481,2.762,DUKAKIS,Michael Dukakis,Democratic,loser,candidate,Governors like me and others have been trying to deal with the consequences.,13,13,A-equiv,text_via_whisper,True
