sentence_id,debate_audio_id,n_voiced_frames,voiced_duration_sec,skewness,kurtosis,iqr_range_ratio,velocity_mean_abs,velocity_sd,accel_mean_abs,turning_pt_rate,total_variation_norm,declination_slope,declination_resid_sd
1001_t0003_s001,1001,191,1.83,-0.33857426047325134,-0.5694713592529297,0.9609891325142904,0.20201843976974487,0.2531997859477997,0.08330421894788742,9.289617486338798,20.201843,-3.2407881508658725,2.7647078832042227
1001_t0003_s002,1001,296,2.83,-1.0359407663345337,1.5226926803588867,0.8469656323522118,0.21848055720329285,0.2745508551597595,0.08511478453874588,8.480565371024735,21.848055,-0.4983501194862206,2.021145155285257
1001_t0003_s003,1001,721,6.93,-0.6215542554855347,-0.5175843238830566,0.7486603593068991,0.16472087800502777,0.22834119200706482,0.07176637649536133,11.832611832611835,16.47209,-0.07539123854061655,2.440771118156059
1001_t0003_s004,1001,666,6.37,-0.535294771194458,0.3431878089904785,0.8236209666954679,0.2686852514743805,0.3992840349674225,0.09933169931173325,7.692307692307694,26.868525,-0.081886027149103,3.715501302833795
1001_t0003_s005,1001,294,2.82,-0.11405409872531891,2.5520553588867188,0.8491419458445858,0.17995290458202362,0.23606489598751068,0.07580093294382095,13.120567375886528,17.99529,-0.9289069891768512,3.013674919643896
1001_t0003_s006,1001,395,3.83,0.04271263629198074,0.7540755271911621,0.6850486332711656,0.21979451179504395,0.3448103070259094,0.09811266511678696,11.74934725848564,21.979452,-0.8762891878912317,2.45086660788377
1001_t0003_s007,1001,316,2.94,0.1859055906534195,-0.501652717590332,0.8575725280231051,0.2510024607181549,0.34919795393943787,0.11262601613998413,9.183673469387756,25.10025,-0.34857915999316863,4.009279837556769
1001_t0003_s008,1001,471,4.47,0.5532903075218201,-0.5644433498382568,0.8482583236916138,0.23850563168525696,0.3250534236431122,0.09298303723335266,8.7248322147651,23.850561,0.3798991494592018,2.5367435684509556
1001_t0003_s009,1001,161,1.53,0.17763736844062805,-0.9256951808929443,0.865897802382923,0.29270437359809875,0.3744206726551056,0.1074858009815216,6.535947712418301,29.270437,-0.7284698204857945,3.862686914811168
1001_t0003_s010,1001,119,1.12,-1.2534579038619995,0.261380672454834,0.5804180233312787,0.18336591124534607,0.24537546932697296,0.08189279586076736,11.607142857142856,18.33659,2.4054192547020583,3.376341732157653
1001_t0003_s011,1001,125,1.19,0.6404134631156921,-0.4891533851623535,0.7543453819601789,0.2347823977470398,0.3144555985927582,0.09156215190887451,11.764705882352942,23.47824,0.16930983263394545,2.6201239069137428
1001_t0003_s012,1001,302,2.85,-0.9823685884475708,1.0111236572265625,0.79571419553016,0.2804103493690491,0.5489138960838318,0.12327171117067337,8.421052631578947,28.041033,1.085164034840467,4.1646094913678695
1001_t0003_s013,1001,24,0.21,-0.6507951617240906,-0.899554967880249,0.9267054237068574,0.8277570605278015,1.6234675645828247,0.32604461908340454,4.761904761904762,82.77571,12.845504197017782,4.446955468629965
1001_t0003_s014,1001,89,0.86,0.7896064519882202,-0.26419806480407715,0.7601845481822457,0.31825703382492065,0.5251317024230957,0.15828081965446472,13.953488372093021,31.825705,-17.791693013667093,3.7587054281747663
1001_t0003_s015,1001,191,1.78,-1.0486427545547485,0.6410353183746338,0.860283613426672,0.21427471935749054,0.2755676805973053,0.09448718279600143,10.112359550561797,21.427471,-0.06969691331002334,3.549904295646815
1001_t0003_s016,1001,218,2.06,-0.6280725002288818,-1.0742701292037964,0.8838299888769284,0.22433586418628693,0.3247695863246918,0.10004051774740219,9.223300970873787,22.433588,0.9999766390244431,3.8216316336587695
1001_t0003_s017,1001,257,2.45,-0.3625335097312927,-0.37351465225219727,0.8743165309220459,0.2648042142391205,0.3511918783187866,0.07642383873462677,5.306122448979592,26.480423,0.2852766254304218,4.04153516725165
1001_t0003_s018,1001,835,8.06,-0.6678423285484314,0.17516469955444336,0.7985139244954439,0.1983475387096405,0.26136288046836853,0.08417419344186783,10.669975186104221,19.834753,-0.118838455228849,2.56489920374025
1001_t0003_s019,1001,376,3.57,-0.11699474602937698,-0.15333914756774902,0.745031474406431,0.17661012709140778,0.22800180315971375,0.07050222903490067,11.204481792717086,17.661015,-0.2648348904285848,2.322351267392535
1001_t0005_s001,1001,35,0.32,-0.6718119382858276,-0.8600573539733887,0.5972835984076533,0.29291820526123047,0.3347213864326477,0.11952637135982513,6.25,29.29182,-17.383081652408706,1.253375168066639
1001_t0005_s002,1001,79,0.72,2.937258720397949,8.500935554504395,0.9319608121527388,0.21926702558994293,0.3528149724006653,0.1631564497947693,9.722222222222223,21.9267,-6.3089016532830176,7.775104593118645
1001_t0005_s003,1001,224,2.12,-0.34295886754989624,1.6799135208129883,0.8537319704337596,0.26157835125923157,0.35902875661849976,0.12002696841955185,10.377358490566035,26.157837,-0.7215924313121322,3.3672098778527895
1001_t0005_s004,1001,280,2.59,2.302520513534546,16.097890853881836,0.8143463550921637,0.28886932134628296,0.5499476194381714,0.15699923038482666,10.81081081081081,28.886932,-0.022447566668945915,5.308248218582977
1001_t0005_s005,1001,246,2.32,-1.665711760520935,4.9116010665893555,0.7933351995671172,0.24785470962524414,0.3829778730869293,0.13365274667739868,9.482758620689655,24.785471,-1.4747451515247119,3.0590225289093
1001_t0005_s006,1001,220,2.09,2.5252933502197266,20.42877197265625,0.8016592745600838,0.29493147134780884,0.44127005338668823,0.15306419134140015,10.526315789473685,29.493143,1.209388803006322,4.688114275822446
1001_t0005_s007,1001,192,1.82,-1.9914441108703613,5.86932373046875,0.7740967000069383,0.3183480501174927,0.4719122052192688,0.18290413916110992,12.637362637362637,31.8348,-0.07409339994274061,3.802364428898417
1001_t0005_s008,1001,738,7.01,-0.9664973616600037,2.36834716796875,0.7604785446327365,0.287606418132782,0.44939544796943665,0.15668350458145142,8.98716119828816,28.760637,-0.04662787729828743,4.143627073881792
1001_t0005_s009,1001,137,1.32,-0.6947228312492371,8.000391006469727,0.8409305797405956,0.2886746823787689,0.6481024026870728,0.15751345455646515,13.636363636363638,28.867466,-0.5027360993680677,3.8282376297015746
1001_t0005_s010,1001,635,6.06,1.4189119338989258,17.50846290588379,0.7880131629118565,0.2570100426673889,0.3359200060367584,0.11985128372907639,11.056105610561058,25.701,-0.48123920961500083,3.783562987276956
1001_t0005_s011,1001,115,1.08,-0.5370820164680481,1.8448114395141602,0.8762784417266631,0.4156203866004944,0.8950679898262024,0.23033177852630615,11.11111111111111,41.56204,-4.160173891122687,5.0523827650058255
1001_t0005_s012,1001,334,3.14,-0.6719868183135986,1.5414323806762695,0.7527084905593838,0.20498433709144592,0.2827465534210205,0.11335611343383789,12.420382165605096,20.498436,-1.2705918727200096,2.5715486707673407
1001_t0007_s001,1001,950,8.99,-0.018410369753837585,4.196533203125,0.7865192000650716,0.24369901418685913,0.32757288217544556,0.11930817365646362,11.234705228031146,24.369902,-0.1214161686063545,5.656209293911494
1001_t0007_s002,1001,15,0.13,1.6384867429733276,0.8392670154571533,0.30490350911307806,0.2533685266971588,0.17448203265666962,0.08144187927246094,0.0,25.336853,195.16729021494345,6.748807417481976
